order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
28,2,2,5,1.0,balanced,1,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
28,3,2,5,1.0,balanced,1,False,267,67,270,67,0.8955223880597015,0.8886825266237033,0.8971031746031747
28,4,2,5,1.0,balanced,1,False,267,67,270,67,0.9850746268656716,0.987450980392157,0.9888888888888889
28,5,2,5,1.0,balanced,1,False,268,66,268,69,0.9545454545454546,0.9500457875457876,0.9509090909090908
29,1,2,5,1.0,balanced,1,True,267,67,270,67,0.9701492537313433,0.9711111111111113,0.968888888888889
29,2,2,5,1.0,balanced,1,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
29,3,2,5,1.0,balanced,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
29,4,2,5,1.0,balanced,1,True,267,67,270,67,0.9850746268656716,0.9777777777777779,0.9800000000000001
29,5,2,5,1.0,balanced,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
30,1,2,5,1.0,balanced,2,False,267,67,270,67,0.9701492537313433,0.9696732026143792,0.968888888888889
30,2,2,5,1.0,balanced,2,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
30,3,2,5,1.0,balanced,2,False,267,67,270,67,0.9104477611940298,0.9050854700854701,0.9096031746031746
30,4,2,5,1.0,balanced,2,False,267,67,270,67,0.9850746268656716,0.987450980392157,0.9888888888888889
30,5,2,5,1.0,balanced,2,False,268,66,268,69,0.9545454545454546,0.9500457875457876,0.9509090909090908
31,1,2,5,1.0,balanced,2,True,267,67,270,67,0.9701492537313433,0.9711111111111113,0.968888888888889
31,2,2,5,1.0,balanced,2,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
31,3,2,5,1.0,balanced,2,True,267,67,270,67,0.9552238805970149,0.9416477090161302,0.945
31,4,2,5,1.0,balanced,2,True,267,67,270,67,0.9850746268656716,0.9777777777777779,0.9800000000000001
31,5,2,5,1.0,balanced,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
32,1,2,5,3.0,,1,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
32,2,2,5,3.0,,1,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
32,3,2,5,3.0,,1,False,267,67,270,67,0.9253731343283582,0.9142185592185592,0.9207142857142857
32,4,2,5,3.0,,1,False,267,67,270,67,1.0,1.0,1.0
